ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
3.00;7.00;-1944883825.45;1576482376.15;1338553.73;58920.04;320390.32;1381059.16;;1338188.375;0
3.00;8.00;-1962769932.90;1590422721.02;1493898.43;66348.49;345823.03;1532356.95;;1493531.875;0
3.00;9.00;-1982649856.36;1606020424.89;1640978.98;72602.41;366722.47;1671362.78;;1640613;0
3.00;10.00;-2004439463.52;1623211367.67;1780948.40;77260.62;385762.95;1803164.59;;1780582.25;0
3.00;11.00;-2028056185.23;1641928882.33;1913456.35;81732.81;402251.38;1931337.66;;1913089.875;0
3.00;12.00;-2053430062.31;1662116431.80;2041558.59;85823.60;417292.34;2054642.54;;2041192.75;0
3.00;13.00;-2080483388.25;1683710693.70;2164568.48;89431.79;431812.60;2170962.10;;2164203;0
3.00;14.00;-2109142230.95;1706653514.26;2281045.00;92673.96;445862.32;2280469.04;;2280680.25;0
3.00;15.00;-2139366852.91;1730911907.22;2396088.59;95773.81;459743.99;2386316.67;;2395722.5;0
3.00;16.00;-2171105256.13;1756439638.14;2509661.81;98675.27;473473.62;2488757.82;;2509296;0
3.00;17.00;-2204303577.99;1783187886.99;2620760.20;101476.95;487160.80;2589217.10;;2620393.5;0
3.00;18.00;-2238901434.14;1811102205.57;2729306.45;104205.78;500844.72;2686753.18;;2728940.25;0
3.00;19.00;-2274834526.58;1840122208.43;2835515.84;106867.00;514486.91;2782823.10;;2835149.25;0
3.00;20.00;-2312054759.23;1870202815.14;2940752.90;109423.17;528023.04;2877442.44;;2940387.25;0
3.00;21.00;-2350505322.55;1901291062.02;3044372.83;111919.27;541539.10;2970361.21;;3044006.5;0
3.00;22.00;-2390126400.82;1933331577.75;3146172.45;114381.86;555007.63;3060800.25;;3145806.25;0
3.00;23.00;-2430858268.51;1966267268.76;3246852.18;116815.74;568411.88;3149726.15;;3246486;0
